Annotation,AT2 Cell,B Cell,Alveolar macrophage_Ear2 high,T Cell_Cd8b1 high,Plasmacytoid dendritic cell,NK Cell,Eosinophil granulocyte,Interstitial macrophage,Dendritic cell_Naaa high,Stromal cell_Dcn high,Stromal cell_Inmt high,Clara Cell,Conventional dendritic cell_Gngt2 high,AT1 Cell,Conventional dendritic cell_Mgl2 high,Nuocyte,Endothelial cell_Tmem100 high,Ciliated cell,Endothelial cell_Kdr high,Endothelial cells_Vwf high,Neutrophil granulocyte,Dividing dendritic cells,Stromal cell_Acta2 high,Dividing T cells,Dividing cells,Alveolar macrophage_Pclaf high,Alveolar bipotent progenitor,Ig−producing B cell,Conventional dendritic cell_H2-M2 high,Basophil,Monocyte progenitor cell,Conventional dendritic cell_Tubb5 high
AT2 Cell,0,428,1,26,1,25,32,1,1,0,2,5,49,233,4,5,20,6,1,0,1,2,0,0,28,0,463,0,0,0,2,0
B Cell,16,0,1,614,122,0,11,0,22,0,2,0,9,0,0,2,1,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0
Alveolar macrophage_Ear2 high,2,1,0,7,63,3,36,0,4,1,1,2,53,2,1,1,9,1,8,4,0,0,1,0,0,546,1,0,0,0,1,0
T Cell_Cd8b1 high,0,15,2,0,6,55,22,1,1,3,2,1,3,0,0,461,5,1,0,0,0,0,0,255,0,0,2,0,0,0,1,0
Plasmacytoid dendritic cell,1,1,2,10,0,0,0,4,1,0,2,0,138,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
NK Cell,7,13,6,181,1,0,2,2,0,0,1,1,1,0,0,12,3,1,4,0,0,0,0,103,0,0,0,0,1,0,0,0
Eosinophil granulocyte,0,6,3,3,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Interstitial macrophage,2,1,4,3,81,1,0,0,4,0,0,0,28,0,64,0,6,0,2,0,0,4,0,0,2,0,0,0,2,0,0,1
Dendritic cell_Naaa high,4,0,0,0,3,2,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,107,0,0,0,0,0,0,6,0,0,2
Stromal cell_Dcn high,0,0,1,1,1,0,0,0,0,0,21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Stromal cell_Inmt high,4,6,2,20,1,3,3,2,3,55,0,0,3,0,0,0,0,1,2,1,0,0,40,0,0,0,0,0,1,0,0,0
Clara Cell,7,1,0,6,0,0,3,0,0,1,0,0,1,6,0,0,1,33,0,0,0,0,0,0,0,0,13,0,0,0,0,0
Conventional dendritic cell_Gngt2 high,16,2,2,9,255,1,4,0,1,1,1,1,0,1,0,1,4,0,1,0,0,0,1,0,0,2,0,0,1,0,0,1
AT1 Cell,5,7,2,16,1,1,0,0,4,37,8,1,4,0,0,3,11,16,1,2,0,0,2,0,1,2,44,0,0,0,0,0
Conventional dendritic cell_Mgl2 high,0,0,0,1,13,1,1,4,75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36
Nuocyte,0,0,1,168,0,7,4,1,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
Endothelial cell_Tmem100 high,2,1,5,5,1,0,3,1,1,0,2,0,1,0,0,0,0,0,98,77,0,0,1,0,0,1,0,0,0,0,0,0
Ciliated cell,5,3,1,46,2,0,3,0,1,0,3,6,1,16,0,0,6,0,2,0,0,1,0,1,1,0,27,0,0,0,2,0
Endothelial cell_Kdr high,0,1,7,2,1,3,2,0,1,0,0,0,1,1,1,3,432,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Endothelial cells_Vwf high,0,0,1,2,0,0,1,0,1,0,0,0,2,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neutrophil granulocyte,0,2,2,1,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dividing dendritic cells,0,0,1,0,0,0,0,0,8,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,8
Stromal cell_Acta2 high,3,0,1,7,1,1,0,1,2,2,22,0,1,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
Dividing T cells,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0
Dividing cells,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2
Alveolar macrophage_Pclaf high,0,0,20,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,4,0
Alveolar bipotent progenitor,5,2,1,0,1,0,0,0,0,1,0,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ig−producing B cell,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Conventional dendritic cell_H2-M2 high,0,0,0,1,0,0,0,0,11,0,0,0,1,0,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Basophil,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monocyte progenitor cell,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conventional dendritic cell_Tubb5 high,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
